weekid,song,performer,week_position,Last Week,peak_position,weeks_on_chart,Image URL,month,week_of_year,is_december
2018-12-26,Jingle Bell Rock,Bobby Helms,13,15,13,24,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,52,True
2018-12-26,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",17,24,17,16,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,12,52,True
2018-12-26,Last Christmas,Wham!,27,31,27,8,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,12,52,True
2018-12-26,Feliz Navidad,Jose Feliciano,34,42,34,4,https://charts-static.billboard.com/img/1998/01/jose-feliciano-cf5-feliznavidad-7vj-180x180.jpg,12,52,True
2018-12-26,It'S Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,42,42,1,1,https://charts-static.billboard.com/img/2013/12/perry-como-srg-180x180.jpg,12,52,True
2018-12-26,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,45,45,1,1,https://charts-static.billboard.com/img/1996/01/john-lennon-a21-happyxmaswarisover-xlh-180x180.jpg,12,52,True
2018-12-26,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,48,12,14,1,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,52,True
2019-01-02,All I Want For Christmas Is You,Mariah Carey,3,7,3,30,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,1,1,False
2019-01-02,Jingle Bell Rock,Bobby Helms,8,13,8,25,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,1,1,False
2019-01-02,Rockin' Around The Christmas Tree,Brenda Lee,9,11,9,27,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,1,1,False
2019-01-02,A Holly Jolly Christmas,Burl Ives,10,12,10,10,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,1,1,False
2019-01-02,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",11,17,11,17,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,1,1,False
2019-01-02,It'S The Most Wonderful Time Of The Year,Andy Williams,13,10,10,10,https://charts-static.billboard.com/img/2001/12/andy-williams-nyc-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,1,1,False
2019-01-02,Last Christmas,Wham!,25,27,25,9,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,1,1,False
2019-01-02,Feliz Navidad,Jose Feliciano,29,34,29,5,https://charts-static.billboard.com/img/1998/01/jose-feliciano-cf5-feliznavidad-7vj-180x180.jpg,1,1,False
2019-01-02,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,34,48,12,15,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,1,1,False
2019-01-02,It'S Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,35,42,35,2,https://charts-static.billboard.com/img/2013/12/perry-como-srg-180x180.jpg,1,1,False
2019-01-02,Blue Christmas,Elvis Presley,40,40,1,1,https://charts-static.billboard.com/img/1998/01/elvis-presley-yoq-bluechristmas-sbf-180x180.jpg,1,1,False
2019-01-02,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,42,45,42,2,https://charts-static.billboard.com/img/1996/01/john-lennon-a21-happyxmaswarisover-xlh-180x180.jpg,1,1,False
2019-01-02,Underneath The Tree,Kelly Clarkson,44,44,4,1,https://charts-static.billboard.com/img/2013/11/kelly-clarkson-w89-underneath-the-tree-hcd-180x180.jpg,1,1,False
2019-01-02,Run Rudolph Run,Chuck Berry,45,45,4,1,https://charts-static.billboard.com/img/1958/12/chuck-berry-u0i-runrudolphrun-bp6-180x180.jpg,1,1,False
2019-11-20,All I Want For Christmas Is You,Mariah Carey,39,3,31,1,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,11,47,False
2019-11-27,All I Want For Christmas Is You,Mariah Carey,31,39,3,32,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,11,48,False
2019-12-04,All I Want For Christmas Is You,Mariah Carey,18,31,3,33,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,12,49,True
2019-12-04,Rockin' Around The Christmas Tree,Brenda Lee,29,9,28,1,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,49,True
2019-12-04,Last Christmas,Wham!,46,25,10,1,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,12,49,True
2019-12-04,Jingle Bell Rock,Bobby Helms,47,8,26,1,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,49,True
2019-12-04,A Holly Jolly Christmas,Burl Ives,48,10,11,1,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,12,49,True
2019-12-04,It'S The Most Wonderful Time Of The Year,Andy Williams,49,10,11,1,https://charts-static.billboard.com/img/2001/12/andy-williams-nyc-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,12,49,True
2019-12-11,All I Want For Christmas Is You,Mariah Carey,3,18,3,34,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,12,50,True
2019-12-11,Rockin' Around The Christmas Tree,Brenda Lee,8,29,8,29,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,50,True
2019-12-11,A Holly Jolly Christmas,Burl Ives,18,48,10,12,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,12,50,True
2019-12-11,Jingle Bell Rock,Bobby Helms,23,47,8,27,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,50,True
2019-12-11,It'S The Most Wonderful Time Of The Year,Andy Williams,24,49,10,12,https://charts-static.billboard.com/img/2001/12/andy-williams-nyc-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,12,50,True
2019-12-11,Last Christmas,Wham!,27,46,25,11,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,12,50,True
2019-12-11,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",33,11,18,1,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,12,50,True
2019-12-11,Feliz Navidad,Jose Feliciano,39,29,6,1,https://charts-static.billboard.com/img/1998/01/jose-feliciano-cf5-feliznavidad-7vj-180x180.jpg,12,50,True
2019-12-18,All I Want For Christmas Is You,Mariah Carey,1,3,1,35,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,12,51,True
2019-12-18,Rockin' Around The Christmas Tree,Brenda Lee,3,8,3,30,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,51,True
2019-12-18,A Holly Jolly Christmas,Burl Ives,10,18,10,13,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,12,51,True
2019-12-18,Jingle Bell Rock,Bobby Helms,15,23,8,28,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,51,True
2019-12-18,It'S The Most Wonderful Time Of The Year,Andy Williams,20,24,10,13,https://charts-static.billboard.com/img/2001/12/andy-williams-nyc-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,12,51,True
2019-12-18,Last Christmas,Wham!,26,27,25,12,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,12,51,True
2019-12-18,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",32,33,11,19,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,12,51,True
2019-12-18,Feliz Navidad,Jose Feliciano,34,39,29,7,https://charts-static.billboard.com/img/1998/01/jose-feliciano-cf5-feliznavidad-7vj-180x180.jpg,12,51,True
2019-12-25,All I Want For Christmas Is You,Mariah Carey,1,1,1,36,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,12,52,True
2019-12-25,Rockin' Around The Christmas Tree,Brenda Lee,2,3,2,31,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,52,True
2019-12-25,A Holly Jolly Christmas,Burl Ives,6,10,6,14,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,12,52,True
2019-12-25,Jingle Bell Rock,Bobby Helms,9,15,8,29,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,52,True
2019-12-25,It'S The Most Wonderful Time Of The Year,Andy Williams,15,20,10,14,https://charts-static.billboard.com/img/2001/12/andy-williams-nyc-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,12,52,True
2019-12-25,Last Christmas,Wham!,17,26,17,13,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,12,52,True
2019-12-25,Feliz Navidad,Jose Feliciano,23,34,23,8,https://charts-static.billboard.com/img/1998/01/jose-feliciano-cf5-feliznavidad-7vj-180x180.jpg,12,52,True
2019-12-25,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",30,32,11,20,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,12,52,True
2019-12-25,It'S Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,50,35,3,1,https://charts-static.billboard.com/img/2013/12/perry-como-srg-180x180.jpg,12,52,True
2020-01-01,All I Want For Christmas Is You,Mariah Carey,1,1,1,37,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,1,1,False
2020-01-01,Rockin' Around The Christmas Tree,Brenda Lee,2,2,2,32,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,1,1,False
2020-01-01,Jingle Bell Rock,Bobby Helms,3,9,3,30,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,1,1,False
2020-01-01,A Holly Jolly Christmas,Burl Ives,4,6,4,15,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,1,1,False
2020-01-01,It'S The Most Wonderful Time Of The Year,Andy Williams,7,15,7,15,https://charts-static.billboard.com/img/2001/12/andy-williams-nyc-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,1,1,False
2020-01-01,Last Christmas,Wham!,11,17,11,14,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,1,1,False
2020-01-01,Feliz Navidad,Jose Feliciano,12,23,12,9,https://charts-static.billboard.com/img/1998/01/jose-feliciano-cf5-feliznavidad-7vj-180x180.jpg,1,1,False
2020-01-01,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",16,30,11,21,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,1,1,False
2020-01-01,It'S Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,28,50,28,4,https://charts-static.billboard.com/img/2013/12/perry-como-srg-180x180.jpg,1,1,False
2020-01-01,Underneath The Tree,Kelly Clarkson,31,31,5,1,https://charts-static.billboard.com/img/2013/11/kelly-clarkson-w89-underneath-the-tree-hcd-180x180.jpg,1,1,False
2020-01-01,Run Rudolph Run,Chuck Berry,36,36,5,1,https://charts-static.billboard.com/img/1958/12/chuck-berry-u0i-runrudolphrun-bp6-180x180.jpg,1,1,False
2020-01-01,Blue Christmas,Elvis Presley,40,40,2,1,https://charts-static.billboard.com/img/1998/01/elvis-presley-yoq-bluechristmas-sbf-180x180.jpg,1,1,False
2020-01-01,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,42,12,16,1,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,1,1,False
2020-01-01,Happy Xmas (War Is Over),John Legend,69,69,1,1,https://charts-static.billboard.com/img/2004/04/john-legend-035-180x180.jpg,1,1,False
2020-02-19,Believe,Meek Mill Featuring Justin Timberlake,90,90,1,1,https://charts-static.billboard.com/img/2020/02/meek-mill-d0g-believe-vjp-180x180.jpg,2,8,False
2020-11-25,All I Want For Christmas Is You,Mariah Carey,29,1,38,1,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,11,48,False
2020-11-25,Rockin' Around The Christmas Tree,Brenda Lee,43,2,33,1,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,11,48,False
2020-12-02,All I Want For Christmas Is You,Mariah Carey,14,29,1,39,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,12,49,True
2020-12-02,Rockin' Around The Christmas Tree,Brenda Lee,21,43,2,34,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,49,True
2020-12-02,Jingle Bell Rock,Bobby Helms,31,3,31,1,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,49,True
2020-12-02,It'S The Most Wonderful Time Of The Year,Andy Williams,37,7,16,1,https://charts-static.billboard.com/img/2001/12/andy-williams-nyc-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,12,49,True
2020-12-02,Last Christmas,Wham!,42,11,15,1,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,12,49,True
2020-12-02,Feliz Navidad,Jose Feliciano,45,12,10,1,https://charts-static.billboard.com/img/1998/01/jose-feliciano-cf5-feliznavidad-7vj-180x180.jpg,12,49,True
2020-12-02,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",48,11,22,1,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,12,49,True
2020-12-09,All I Want For Christmas Is You,Mariah Carey,2,14,1,40,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,12,50,True
2020-12-09,Rockin' Around The Christmas Tree,Brenda Lee,4,21,2,35,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,50,True
2020-12-09,Jingle Bell Rock,Bobby Helms,9,31,3,32,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,50,True
2020-12-09,It'S The Most Wonderful Time Of The Year,Andy Williams,12,37,7,17,https://charts-static.billboard.com/img/2001/12/andy-williams-nyc-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,12,50,True
2020-12-09,Feliz Navidad,Jose Feliciano,16,45,12,11,https://charts-static.billboard.com/img/1998/01/jose-feliciano-cf5-feliznavidad-7vj-180x180.jpg,12,50,True
2020-12-09,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",18,48,11,23,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,12,50,True
2020-12-09,Last Christmas,Wham!,21,42,11,16,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,12,50,True
2020-12-09,A Holly Jolly Christmas,Burl Ives,24,4,16,1,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,12,50,True
2020-12-09,Underneath The Tree,Kelly Clarkson,30,30,6,1,https://charts-static.billboard.com/img/2013/11/kelly-clarkson-w89-underneath-the-tree-hcd-180x180.jpg,12,50,True
2020-12-09,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,37,12,17,1,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,50,True
2020-12-09,It'S Beginning To Look A Lot Like Christmas,Michael Buble,39,39,2,1,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg,12,50,True
2020-12-09,It'S Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,45,28,5,1,https://charts-static.billboard.com/img/2013/12/perry-como-srg-180x180.jpg,12,50,True
2020-12-09,Rockin' Around The Christmas Tree,Justin Bieber,83,83,1,1,https://charts-static.billboard.com/img/2020/11/justin-bieber-f8k-rockin-around-the-christmas-tree-hjj-180x180.jpg,12,50,True
2020-12-16,All I Want For Christmas Is You,Mariah Carey,1,2,1,41,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,12,51,True
2020-12-16,Rockin' Around The Christmas Tree,Brenda Lee,3,4,2,36,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,51,True
2020-12-16,Jingle Bell Rock,Bobby Helms,5,9,3,33,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,51,True
2020-12-16,It'S The Most Wonderful Time Of The Year,Andy Williams,6,12,6,18,https://charts-static.billboard.com/img/2001/12/andy-williams-nyc-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,12,51,True
2020-12-16,Feliz Navidad,Jose Feliciano,10,16,10,12,https://charts-static.billboard.com/img/1998/01/jose-feliciano-cf5-feliznavidad-7vj-180x180.jpg,12,51,True
2020-12-16,Last Christmas,Wham!,11,21,11,17,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,12,51,True
2020-12-16,A Holly Jolly Christmas,Burl Ives,14,24,4,17,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,12,51,True
2020-12-16,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",16,18,11,24,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,12,51,True
2020-12-16,Underneath The Tree,Kelly Clarkson,25,30,25,7,https://charts-static.billboard.com/img/2013/11/kelly-clarkson-w89-underneath-the-tree-hcd-180x180.jpg,12,51,True
2020-12-16,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,32,37,12,18,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,51,True
2020-12-16,It'S Beginning To Look A Lot Like Christmas,Michael Buble,33,39,33,3,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg,12,51,True
2020-12-16,It'S Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,35,45,28,6,https://charts-static.billboard.com/img/2013/12/perry-como-srg-180x180.jpg,12,51,True
2020-12-16,Santa Tell Me,Ariana Grande,39,39,6,1,https://charts-static.billboard.com/img/2014/12/ariana-grande-da0-santa-tell-me-st8-180x180.jpg,12,51,True
2020-12-16,Run Rudolph Run,Chuck Berry,40,36,6,1,https://charts-static.billboard.com/img/1958/12/chuck-berry-u0i-runrudolphrun-bp6-180x180.jpg,12,51,True
2020-12-16,Rockin' Around The Christmas Tree,Justin Bieber,71,83,71,2,https://charts-static.billboard.com/img/2020/11/justin-bieber-f8k-rockin-around-the-christmas-tree-hjj-180x180.jpg,12,51,True
2020-12-16,Oh Santa!,Mariah Carey Featuring Ariana Grande & Jennifer Hudson,76,76,1,1,https://charts-static.billboard.com/img/2020/12/mariah-carey-vb1-oh-santa-1l9-180x180.jpg,12,51,True
2020-12-16,Silent Night,Carrie Underwood,100,100,1,1,https://charts-static.billboard.com/img/2005/04/carrie-underwood-dzv-180x180.jpg,12,51,True
2020-12-23,All I Want For Christmas Is You,Mariah Carey,2,1,1,42,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,12,52,True
2020-12-23,Rockin' Around The Christmas Tree,Brenda Lee,3,3,2,37,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,52,True
2020-12-23,Jingle Bell Rock,Bobby Helms,4,5,3,34,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,52,True
2020-12-23,A Holly Jolly Christmas,Burl Ives,6,14,4,18,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,12,52,True
2020-12-23,It'S The Most Wonderful Time Of The Year,Andy Williams,7,6,6,19,https://charts-static.billboard.com/img/2001/12/andy-williams-nyc-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,12,52,True
2020-12-23,Feliz Navidad,Jose Feliciano,10,10,10,13,https://charts-static.billboard.com/img/1998/01/jose-feliciano-cf5-feliznavidad-7vj-180x180.jpg,12,52,True
2020-12-23,It'S Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,12,35,12,7,https://charts-static.billboard.com/img/2013/12/perry-como-srg-180x180.jpg,12,52,True
2020-12-23,Last Christmas,Wham!,14,11,11,18,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,12,52,True
2020-12-23,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",15,16,11,25,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,12,52,True
2020-12-23,Underneath The Tree,Kelly Clarkson,28,25,25,8,https://charts-static.billboard.com/img/2013/11/kelly-clarkson-w89-underneath-the-tree-hcd-180x180.jpg,12,52,True
2020-12-23,Run Rudolph Run,Chuck Berry,29,40,29,7,https://charts-static.billboard.com/img/1958/12/chuck-berry-u0i-runrudolphrun-bp6-180x180.jpg,12,52,True
2020-12-23,Santa Tell Me,Ariana Grande,32,39,32,7,https://charts-static.billboard.com/img/2014/12/ariana-grande-da0-santa-tell-me-st8-180x180.jpg,12,52,True
2020-12-23,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,38,32,12,19,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,52,True
2020-12-23,It'S Beginning To Look A Lot Like Christmas,Michael Buble,42,33,33,4,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg,12,52,True
2020-12-23,Deck The Halls,Nat King Cole,47,47,1,1,https://charts-static.billboard.com/img/2018/01/nat-king-cole-wkp-180x180.jpg,12,52,True
2020-12-23,Rockin' Around The Christmas Tree,Justin Bieber,87,71,71,3,https://charts-static.billboard.com/img/2020/11/justin-bieber-f8k-rockin-around-the-christmas-tree-hjj-180x180.jpg,12,52,True
2020-12-30,All I Want For Christmas Is You,Mariah Carey,1,2,1,43,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,12,53,True
2020-12-30,Rockin' Around The Christmas Tree,Brenda Lee,2,3,2,38,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,53,True
2020-12-30,Jingle Bell Rock,Bobby Helms,3,4,3,35,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,53,True
2020-12-30,A Holly Jolly Christmas,Burl Ives,4,6,4,19,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,12,53,True
2020-12-30,It'S The Most Wonderful Time Of The Year,Andy Williams,5,7,5,20,https://charts-static.billboard.com/img/2001/12/andy-williams-nyc-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,12,53,True
2020-12-30,Feliz Navidad,Jose Feliciano,6,10,6,14,https://charts-static.billboard.com/img/1998/01/jose-feliciano-cf5-feliznavidad-7vj-180x180.jpg,12,53,True
2020-12-30,Last Christmas,Wham!,9,14,9,19,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,12,53,True
2020-12-30,Run Rudolph Run,Chuck Berry,10,29,10,8,https://charts-static.billboard.com/img/1958/12/chuck-berry-u0i-runrudolphrun-bp6-180x180.jpg,12,53,True
2020-12-30,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",11,15,11,26,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,12,53,True
2020-12-30,Underneath The Tree,Kelly Clarkson,12,28,12,9,https://charts-static.billboard.com/img/2013/11/kelly-clarkson-w89-underneath-the-tree-hcd-180x180.jpg,12,53,True
2020-12-30,It'S Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,15,12,12,8,https://charts-static.billboard.com/img/2013/12/perry-como-srg-180x180.jpg,12,53,True
2020-12-30,Santa Tell Me,Ariana Grande,17,32,17,8,https://charts-static.billboard.com/img/2014/12/ariana-grande-da0-santa-tell-me-st8-180x180.jpg,12,53,True
2020-12-30,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,20,38,12,20,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,53,True
2020-12-30,It'S Beginning To Look A Lot Like Christmas,Michael Buble,23,42,23,5,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg,12,53,True
2020-12-30,Blue Christmas,Elvis Presley,33,33,3,1,https://charts-static.billboard.com/img/1998/01/elvis-presley-yoq-bluechristmas-sbf-180x180.jpg,12,53,True
2020-12-30,This Christmas,Donny Hathaway,39,39,1,1,https://charts-static.billboard.com/img/1997/01/donny-hathaway-a6m-this-christmas-2cc-180x180.jpg,12,53,True
2020-12-30,Deck The Halls,Nat King Cole,43,47,43,2,https://charts-static.billboard.com/img/2018/01/nat-king-cole-wkp-180x180.jpg,12,53,True
2020-12-30,Please Come Home For Christmas,Eagles,45,18,9,1,https://charts-static.billboard.com/img/1978/12/eagles-ma9-pleasecomehomeforchristmas-pgy-180x180.jpg,12,53,True
2020-12-30,Have Yourself A Merry Little Christmas,Michael Buble,49,49,1,1,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg,12,53,True
2020-12-30,I'Ll Be Home For Christmas,Bing Crosby With John Scott Trotter And His Orchestra,50,50,1,1,https://charts-static.billboard.com/img/2017/12/bing-crosby-7ej-illbehomeforchristmas-xwo-180x180.jpg,12,53,True
